Product Name,Identifier (GTIN/Name),Unit Sourcing Cost,Target Resale Floor,Unit Net Cash Profit,Total Allocated Units,Total Sourcing Investment,Total Expected Net Profit,Projected Line ROI (%)
"BABYLISS TITANIUM WOW PEARL STRAIGHTENER","TEXT_ANCHOR",£5.63,£21.00,£9.29,1,£5.63,£9.29,164.9%
"RENPHO SMART BODY BLUETOOTH SCALE BLACK","TEXT_ANCHOR",£5.63,£18.99,£7.55,1,£5.63,£7.55,134.0%
"WP 490 WATERPIK CORDLESS PLUS WHITE","TEXT_ANCHOR",£5.63,£19.99,£7.41,2,£11.26,£14.82,131.6%
"BABYLISS ESSENTIALS RECH LADY SHAVER","TEXT_ANCHOR",£5.63,£12.96,£2.33,1,£5.63,£2.33,41.5%
"TRESEMME ULTRA LIGHT DC DRYER","TEXT_ANCHOR",£5.63,£11.82,£1.34,3,£16.89,£4.03,23.9%


=== PORTFOLIO RUN OVERVIEW SUMMARY ===
Total Physical Pallet Units,8
Total Sourcing Capital Required,£45.04
Total Projected Net Cash Profits,£38.02
Blended Batch Sourcing ROI,84.4%
